movieId,count,title,genres,imdbId,tmdbId,reviews
1,215,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,114709,862.0,[]
2,110,Jumanji (1995),Adventure|Children|Fantasy,113497,8844.0,[]
3,52,Grumpier Old Men (1995),Comedy|Romance,113228,15602.0,[]
6,102,Heat (1995),Action|Crime|Thriller,113277,949.0,[]
7,54,Sabrina (1995),Comedy|Romance,114319,11860.0,[]
10,132,GoldenEye (1995),Action|Adventure|Thriller,113189,710.0,[]
11,70,"American President, The (1995)",Comedy|Drama|Romance,112346,9087.0,[]
16,82,Casino (1995),Crime|Drama,112641,524.0,[]
17,67,Sense and Sensibility (1995),Drama|Romance,114388,4584.0,[]
19,88,Ace Ventura: When Nature Calls (1995),Comedy,112281,9273.0,[]
21,89,Get Shorty (1995),Comedy|Crime|Thriller,113161,8012.0,[]
25,76,Leaving Las Vegas (1995),Drama|Romance,113627,451.0,[]
32,177,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,114746,63.0,[]
34,128,Babe (1995),Children|Drama,112431,9598.0,[]
36,67,Dead Man Walking (1995),Crime|Drama,112818,687.0,[]
39,104,Clueless (1995),Comedy|Romance,112697,9603.0,[]
47,203,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,114369,807.0,[]
48,68,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,114148,10530.0,[]
50,204,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,114814,629.0,[]
62,80,Mr. Holland's Opus (1995),Drama,113862,2054.0,[]
70,55,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,116367,755.0,[]
95,84,Broken Arrow (1996),Action|Adventure|Thriller,115759,9208.0,[]
104,99,Happy Gilmore (1996),Comedy,116483,9614.0,[]
110,237,Braveheart (1995),Action|Drama|War,112573,197.0,[]
111,104,Taxi Driver (1976),Crime|Drama|Thriller,75314,103.0,[]
141,86,"Birdcage, The (1996)",Comedy,115685,11000.0,[]
145,51,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller,112442,9737.0,[]
150,201,Apollo 13 (1995),Adventure|Drama|IMAX,112384,568.0,[]
153,137,Batman Forever (1995),Action|Adventure|Comedy|Crime,112462,414.0,[]
158,62,Casper (1995),Adventure|Children,112642,8839.0,[]
160,57,Congo (1995),Action|Adventure|Mystery|Sci-Fi,112715,10329.0,[]
161,103,Crimson Tide (1995),Drama|Thriller|War,112740,8963.0,[]
163,66,Desperado (1995),Action|Romance|Western,112851,8068.0,[]
165,144,Die Hard: With a Vengeance (1995),Action|Crime|Thriller,112864,1572.0,[]
168,54,First Knight (1995),Action|Drama|Romance,113071,6520.0,[]
172,53,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,113481,9886.0,[]
173,62,Judge Dredd (1995),Action|Crime|Sci-Fi,113492,9482.0,[]
185,112,"Net, The (1995)",Action|Crime|Thriller,113957,1642.0,[]
208,115,Waterworld (1995),Action|Adventure|Sci-Fi,114898,9804.0,[]
223,104,Clerks (1994),Comedy,109445,2292.0,[]
225,52,Disclosure (1994),Drama|Thriller,109635,8984.0,[]
231,133,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy,109686,8467.0,[]
235,70,Ed Wood (1994),Comedy|Drama,109707,522.0,[]
253,109,Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror,110148,628.0,[]
260,251,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi,76759,11.0,[]
266,68,Legends of the Fall (1994),Drama|Romance|War|Western,110322,4476.0,[]
288,92,Natural Born Killers (1994),Action|Crime|Thriller,110632,241.0,[]
292,101,Outbreak (1995),Action|Drama|Sci-Fi|Thriller,114069,6950.0,[]
293,133,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller,110413,101.0,[]
296,307,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller,110912,680.0,[]
300,81,Quiz Show (1994),Drama,110932,11450.0,[]
316,140,Stargate (1994),Action|Adventure|Sci-Fi,111282,2164.0,[]
317,81,"Santa Clause, The (1994)",Comedy|Drama|Fantasy,111070,11395.0,[]
318,317,"Shawshank Redemption, The (1994)",Crime|Drama,111161,278.0,[]
329,108,Star Trek: Generations (1994),Adventure|Drama|Sci-Fi,111280,193.0,[]
337,77,What's Eating Gilbert Grape (1993),Drama,108550,1587.0,[]
339,98,While You Were Sleeping (1995),Comedy|Romance,114924,2064.0,[]
344,161,Ace Ventura: Pet Detective (1994),Comedy,109040,3049.0,[]
349,110,Clear and Present Danger (1994),Action|Crime|Drama|Thriller,109444,9331.0,[]
350,57,"Client, The (1994)",Drama|Mystery|Thriller,109446,10731.0,[]
353,64,"Crow, The (1994)",Action|Crime|Fantasy|Thriller,109506,9495.0,[]
356,329,Forrest Gump (1994),Comedy|Drama|Romance|War,109830,13.0,[]
357,103,Four Weddings and a Funeral (1994),Comedy|Romance,109831,712.0,[]
364,172,"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX,110357,8587.0,[]
367,157,"Mask, The (1994)",Action|Comedy|Crime|Fantasy,110475,854.0,[]
368,74,Maverick (1994),Adventure|Comedy|Western,110478,9359.0,[]
370,58,Naked Gun 33 1/3: The Final Insult (1994),Action|Comedy,110622,36593.0,[]
377,171,Speed (1994),Action|Romance|Thriller,111257,1637.0,[]
380,178,True Lies (1994),Action|Adventure|Comedy|Romance|Thriller,111503,36955.0,[]
410,84,Addams Family Values (1993),Children|Comedy|Fantasy,106220,2758.0,[]
420,59,Beverly Hills Cop III (1994),Action|Comedy|Crime|Thriller,109254,306.0,[]
432,55,City Slickers II: The Legend of Curly's Gold (1994),Adventure|Comedy|Western,109439,11310.0,[]
434,101,Cliffhanger (1993),Action|Adventure|Thriller,106582,9350.0,[]
435,63,Coneheads (1993),Comedy|Sci-Fi,106598,9612.0,[]
440,76,Dave (1993),Comedy|Romance,106673,11566.0,[]
442,81,Demolition Man (1993),Action|Adventure|Sci-Fi,106697,9739.0,[]
454,101,"Firm, The (1993)",Drama|Thriller,106918,37233.0,[]
457,190,"Fugitive, The (1993)",Thriller,106977,5503.0,[]
466,60,Hot Shots! Part Deux (1993),Action|Comedy|War,107144,9255.0,[]
474,70,In the Line of Fire (1993),Action|Thriller,107206,9386.0,[]
480,238,Jurassic Park (1993),Action|Adventure|Sci-Fi|Thriller,107290,329.0,[]
485,53,Last Action Hero (1993),Action|Adventure|Comedy|Fantasy,107362,9593.0,[]
500,144,Mrs. Doubtfire (1993),Comedy|Drama,107614,788.0,[]
508,66,Philadelphia (1993),Drama,107818,9800.0,[]
509,61,"Piano, The (1993)",Drama|Romance,107822,713.0,[]
520,69,Robin Hood: Men in Tights (1993),Comedy,107977,8005.0,[]
527,220,Schindler's List (1993),Drama|War,108052,424.0,[]
539,106,Sleepless in Seattle (1993),Comedy|Drama|Romance,108160,858.0,[]
541,124,Blade Runner (1982),Action|Sci-Fi|Thriller,83658,78.0,[]
551,93,"Nightmare Before Christmas, The (1993)",Animation|Children|Fantasy|Musical,107688,9479.0,[]
552,61,"Three Musketeers, The (1993)",Action|Adventure|Comedy|Romance,108333,10057.0,[]
553,65,Tombstone (1993),Action|Drama|Western,108358,11969.0,[]
555,65,True Romance (1993),Crime|Thriller,108399,319.0,[]
586,116,Home Alone (1990),Children|Comedy,99785,771.0,[]
587,115,Ghost (1990),Comedy|Drama|Fantasy|Romance|Thriller,99653,251.0,[]
588,183,Aladdin (1992),Adventure|Animation|Children|Comedy|Musical,103639,812.0,[]
589,224,Terminator 2: Judgment Day (1991),Action|Sci-Fi,103064,280.0,[]
590,164,Dances with Wolves (1990),Adventure|Drama|Western,99348,581.0,[]
592,189,Batman (1989),Action|Crime|Thriller,96895,268.0,[]
593,279,"Silence of the Lambs, The (1991)",Crime|Horror|Thriller,102926,274.0,[]
594,77,Snow White and the Seven Dwarfs (1937),Animation|Children|Drama|Fantasy|Musical,29583,408.0,[]
595,146,Beauty and the Beast (1991),Animation|Children|Fantasy|Musical|Romance|IMAX,101414,10020.0,[]
596,60,Pinocchio (1940),Animation|Children|Fantasy|Musical,32910,10895.0,[]
597,135,Pretty Woman (1990),Comedy|Romance,100405,114.0,[]
608,181,Fargo (1996),Comedy|Crime|Drama|Thriller,116282,275.0,[]
648,162,Mission: Impossible (1996),Action|Adventure|Mystery|Thriller,117060,954.0,[]
653,65,Dragonheart (1996),Action|Adventure|Fantasy,116136,8840.0,[]
673,53,Space Jam (1996),Adventure|Animation|Children|Comedy|Fantasy|Sci-Fi,117705,2300.0,[]
708,58,"Truth About Cats & Dogs, The (1996)",Comedy|Romance,117979,8866.0,[]
733,121,"Rock, The (1996)",Action|Adventure|Thriller,117500,9802.0,[]
736,123,Twister (1996),Action|Adventure|Romance|Thriller,117998,664.0,[]
750,97,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Comedy|War,57012,935.0,[]
778,102,Trainspotting (1996),Comedy|Crime|Drama,117951,627.0,[]
780,202,Independence Day (a.k.a. ID4) (1996),Action|Adventure|Sci-Fi|Thriller,116629,602.0,[]
784,54,"Cable Guy, The (1996)",Comedy|Thriller,115798,9894.0,[]
786,64,Eraser (1996),Action|Drama|Thriller,116213,9268.0,[]
788,82,"Nutty Professor, The (1996)",Comedy|Fantasy|Romance|Sci-Fi,117218,9327.0,[]
858,192,"Godfather, The (1972)",Crime|Drama,68646,238.0,[]
903,60,Vertigo (1958),Drama|Mystery|Romance|Thriller,52357,426.0,[]
904,84,Rear Window (1954),Mystery|Thriller,47396,567.0,[]
908,57,North by Northwest (1959),Action|Adventure|Mystery|Romance|Thriller,53125,213.0,[]
912,100,Casablanca (1942),Drama|Romance,34583,289.0,[]
919,92,"Wizard of Oz, The (1939)",Adventure|Children|Fantasy|Musical,32138,630.0,[]
923,69,Citizen Kane (1941),Drama|Mystery,33467,15.0,[]
924,109,2001: A Space Odyssey (1968),Adventure|Drama|Sci-Fi,62622,62.0,[]
953,58,It's a Wonderful Life (1946),Children|Drama|Fantasy|Romance,38650,1585.0,[]
1028,71,Mary Poppins (1964),Children|Comedy|Fantasy|Musical,58331,433.0,[]
1035,64,"Sound of Music, The (1965)",Musical|Romance,59742,15121.0,[]
1036,145,Die Hard (1988),Action|Crime|Thriller,95016,562.0,[]
1073,119,Willy Wonka & the Chocolate Factory (1971),Children|Comedy|Fantasy|Musical,67992,252.0,[]
1079,71,"Fish Called Wanda, A (1988)",Comedy|Crime,95159,623.0,[]
1080,89,Monty Python's Life of Brian (1979),Comedy,79470,583.0,[]
1089,131,Reservoir Dogs (1992),Crime|Mystery|Thriller,105236,500.0,[]
1090,63,Platoon (1986),Drama|War,91763,792.0,[]
1097,122,E.T. the Extra-Terrestrial (1982),Children|Drama|Sci-Fi,83866,601.0,[]
1101,83,Top Gun (1986),Action|Romance,92099,744.0,[]
1127,62,"Abyss, The (1989)",Action|Adventure|Sci-Fi|Thriller,96754,2756.0,[]
1136,136,Monty Python and the Holy Grail (1975),Adventure|Comedy|Fantasy,71853,762.0,[]
1148,56,Wallace & Gromit: The Wrong Trousers (1993),Animation|Children|Comedy|Crime,108598,531.0,[]
1193,133,One Flew Over the Cuckoo's Nest (1975),Drama,73486,510.0,[]
1196,211,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Sci-Fi,80684,1891.0,[]
1197,142,"Princess Bride, The (1987)",Action|Adventure|Comedy|Fantasy|Romance,93779,2493.0,[]
1198,200,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Action|Adventure,82971,85.0,[]
1199,59,Brazil (1985),Fantasy|Sci-Fi,88846,68.0,[]
1200,126,Aliens (1986),Action|Adventure|Horror|Sci-Fi,90605,679.0,[]
1201,72,"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)",Action|Adventure|Western,60196,429.0,[]
1203,57,12 Angry Men (1957),Drama,50083,389.0,[]
1206,120,"Clockwork Orange, A (1971)",Crime|Drama|Sci-Fi|Thriller,66921,185.0,[]
1207,58,To Kill a Mockingbird (1962),Drama,56592,595.0,[]
1208,107,Apocalypse Now (1979),Action|Drama|War,78788,28.0,[]
1210,196,Star Wars: Episode VI - Return of the Jedi (1983),Action|Adventure|Sci-Fi,86190,1892.0,[]
1213,126,Goodfellas (1990),Crime|Drama,99685,769.0,[]
1214,146,Alien (1979),Horror|Sci-Fi,78748,348.0,[]
1215,51,Army of Darkness (1993),Action|Adventure|Comedy|Fantasy|Horror,106308,766.0,[]
1219,83,Psycho (1960),Crime|Horror,54215,539.0,[]
1220,84,"Blues Brothers, The (1980)",Action|Comedy|Musical,80455,525.0,[]
1221,129,"Godfather: Part II, The (1974)",Crime|Drama,71562,240.0,[]
1222,102,Full Metal Jacket (1987),Drama|War,93058,600.0,[]
1225,76,Amadeus (1984),Drama,86879,279.0,[]
1230,58,Annie Hall (1977),Comedy|Romance,75686,703.0,[]
1234,64,"Sting, The (1973)",Comedy|Crime,70735,9277.0,[]
1240,131,"Terminator, The (1984)",Action|Sci-Fi|Thriller,88247,218.0,[]
1246,86,Dead Poets Society (1989),Drama,97165,207.0,[]
1247,79,"Graduate, The (1967)",Comedy|Drama|Romance,61722,37247.0,[]
1252,59,Chinatown (1974),Crime|Film-Noir|Mystery|Thriller,71315,829.0,[]
1258,109,"Shining, The (1980)",Horror,81505,694.0,[]
1259,91,Stand by Me (1986),Adventure|Drama,92005,235.0,[]
1265,143,Groundhog Day (1993),Comedy|Fantasy|Romance,107048,137.0,[]
1270,171,Back to the Future (1985),Adventure|Comedy|Sci-Fi,88763,105.0,[]
1276,57,Cool Hand Luke (1967),Drama,61512,903.0,[]
1278,69,Young Frankenstein (1974),Comedy|Fantasy,72431,3034.0,[]
1282,53,Fantasia (1940),Animation|Children|Fantasy|Musical,32455,756.0,[]
1288,66,This Is Spinal Tap (1984),Comedy,88258,11031.0,[]
1291,140,Indiana Jones and the Last Crusade (1989),Action|Adventure,97576,89.0,[]
1302,56,Field of Dreams (1989),Children|Drama|Fantasy,97351,2323.0,[]
1304,62,Butch Cassidy and the Sundance Kid (1969),Action|Western,64115,642.0,[]
1307,85,When Harry Met Sally... (1989),Comedy|Romance,98635,639.0,[]
1356,91,Star Trek: First Contact (1996),Action|Adventure|Sci-Fi|Thriller,117731,199.0,[]
1370,68,Die Hard 2 (1990),Action|Adventure|Thriller,99423,1573.0,[]
1374,62,Star Trek II: The Wrath of Khan (1982),Action|Adventure|Sci-Fi|Thriller,84726,154.0,[]
1377,60,Batman Returns (1992),Action|Crime,103776,364.0,[]
1380,68,Grease (1978),Comedy|Musical|Romance,77631,621.0,[]
1387,91,Jaws (1975),Action|Horror,73195,578.0,[]
1391,86,Mars Attacks! (1996),Action|Comedy|Sci-Fi,116996,75.0,[]
1393,85,Jerry Maguire (1996),Drama|Romance,116695,9390.0,[]
1394,58,Raising Arizona (1987),Comedy,93822,378.0,[]
1407,70,Scream (1996),Comedy|Horror|Mystery|Thriller,117571,4232.0,[]
1466,52,Donnie Brasco (1997),Crime|Drama,119008,9366.0,[]
1485,74,Liar Liar (1997),Comedy,119528,1624.0,[]
1500,59,Grosse Pointe Blank (1997),Comedy|Crime|Romance,119229,9434.0,[]
1517,100,Austin Powers: International Man of Mystery (1997),Action|Adventure|Comedy,118655,816.0,[]
1527,116,"Fifth Element, The (1997)",Action|Adventure|Comedy|Sci-Fi,119116,18.0,[]
1544,67,"Lost World: Jurassic Park, The (1997)",Action|Adventure|Sci-Fi|Thriller,119567,330.0,[]
1552,59,Con Air (1997),Action|Adventure|Thriller,118880,1701.0,[]
1573,77,Face/Off (1997),Action|Crime|Drama|Thriller,119094,754.0,[]
1580,165,Men in Black (a.k.a. MIB) (1997),Action|Comedy|Sci-Fi,119654,607.0,[]
1584,82,Contact (1997),Drama|Sci-Fi,118884,686.0,[]
1608,58,Air Force One (1997),Action|Thriller,118571,9772.0,[]
1610,90,"Hunt for Red October, The (1990)",Action|Adventure|Thriller,99810,1669.0,[]
1617,97,L.A. Confidential (1997),Crime|Film-Noir|Mystery|Thriller,119488,2118.0,[]
1625,77,"Game, The (1997)",Drama|Mystery|Thriller,119174,2649.0,[]
1639,52,Chasing Amy (1997),Comedy|Drama|Romance,118842,2255.0,[]
1641,56,"Full Monty, The (1997)",Comedy|Drama,119164,9427.0,[]
1645,51,The Devil's Advocate (1997),Drama|Mystery|Thriller,118971,1813.0,[]
1653,86,Gattaca (1997),Drama|Sci-Fi|Thriller,119177,782.0,[]
1676,80,Starship Troopers (1997),Action|Sci-Fi,120201,563.0,[]
1682,125,"Truman Show, The (1998)",Comedy|Drama|Sci-Fi,120382,37165.0,[]
1704,141,Good Will Hunting (1997),Drama|Romance,119217,489.0,[]
1721,140,Titanic (1997),Drama|Romance,120338,597.0,[]
1732,106,"Big Lebowski, The (1998)",Comedy|Crime,118715,115.0,[]
1777,56,"Wedding Singer, The (1998)",Comedy|Romance,120888,11003.0,[]
1784,96,As Good as It Gets (1997),Comedy|Drama|Romance,119822,2898.0,[]
1917,92,Armageddon (1998),Action|Romance|Sci-Fi|Thriller,120591,95.0,[]
1923,105,There's Something About Mary (1998),Comedy|Romance,129387,544.0,[]
1954,64,Rocky (1976),Drama,75148,1366.0,[]
1961,96,Rain Man (1988),Drama,95953,380.0,[]
1968,113,"Breakfast Club, The (1985)",Comedy|Drama,88847,2108.0,[]
1997,53,"Exorcist, The (1973)",Horror|Mystery,70047,9552.0,[]
2000,75,Lethal Weapon (1987),Action|Comedy|Crime|Drama,93409,941.0,[]
2005,57,"Goonies, The (1985)",Action|Adventure|Children|Comedy|Fantasy,89218,9340.0,[]
2006,60,"Mask of Zorro, The (1998)",Action|Comedy|Romance,120746,9342.0,[]
2011,87,Back to the Future Part II (1989),Adventure|Comedy|Sci-Fi,96874,165.0,[]
2012,88,Back to the Future Part III (1990),Adventure|Comedy|Sci-Fi|Western,99088,196.0,[]
2028,188,Saving Private Ryan (1998),Action|Drama|War,120815,857.0,[]
2054,68,"Honey, I Shrunk the Kids (1989)",Adventure|Children|Comedy|Fantasy|Sci-Fi,97523,9354.0,[]
